name,lat,lon,population
Tokio,35.42,139.36,37732000
Djakarta,6.1,106.48,33756000
Deli,28.4,71.13,32226000
Gongju,23.08,113.16,26940000
Mumbai,18.58,72.5,24973000
Manila,14.35,121.0,24922000
Shanghai,31.1,121.28,24073000
San Paolo,23.3,46.37,23086000
Seoul,37.35,127.0,23016000
Mexico,19.251,-99.0844,21804000
New York,40.4246,-74.0022,21509000
Cairo,30.0322,31.1422,20296000
Dakka,23.42,90.22,18627000
Beijing,39.5415,116.2427,18522000
Kolkatta,22.3422,88.215,18502000
Bangkok,13.45,100.31,18007000
Shenzhen,22.3206,114.0314,17619000
Moscow,55.4507,37.3656,17332000
Buenos Aires,34.3559,58.2255,16710000
Lagos,6.27,3.24,16637000
Istanbul,41.0036,28.5737,16079000
Karachi,24.5136,67.0036,15738000
Bangalore,12.58,77.34,15386000
Los Angeles,34.02,118.16,15204000
Ho Chi Minh,10.46,106.4,15136000
Osaka,34.4137,135.3007,15126000
Chengdu,30.3936,104.0348,14645000
Johannesburg,26.0842,28.0301,14586000
Tehran,35.42,51.25,14148000
Kinshasa,4.1954,15.185,12836000
Rio de Janeiro,-22.543,-43.1147,12592000
Chennai,13.0524,80.1612,12395000
Xi'an,34.154,108.5632,12328000
Lahore,31.3259,74.2037,12306000
Chongqing,29.33,106.3025,12135000
London,51.3026,0.0739,11262000
Paris,48.5,2.2,11060000
Zhengzhou,34.4457,113.3938,10959000
Dongguan,23.0251,113.4457,10646000
Hyderabad,17.22,78.28,10494000
Tianjin,39.0848,117.122,10368000
Lima,12.0206,77.0107,10320000
Wuhan,30.3514,114.1717,10251000
Bogota,4.3556,74.0451,10085000
Hangzhou,30.15,120.1003,9523000
Nagoya,35.07,136.56,9197000
Taipei,25.02,121.32,9079000
Chicago,41.54,-87.39,9057000
Luanda,8.5,13.14,9051000
Kuala Lumpur,3.0935,101.42,8911000
